Tweet Id,Target,Stance,Opinion Towards,Sentiment
1241866645938765824,school_closures,FAVOR,_,_
1245178590376808449,school_closures,FAVOR,_,_
1245599546639409153,school_closures,FAVOR,_,_
1233642626915631105,school_closures,FAVOR,_,_
1247843013134516224,school_closures,FAVOR,_,_
1234726729983225856,school_closures,FAVOR,_,_
1235569094159749122,school_closures,FAVOR,_,_
1238088018025689089,school_closures,FAVOR,_,_
1238228451460616192,school_closures,FAVOR,_,_
1239431492209704961,school_closures,FAVOR,_,_
1239434838735650817,school_closures,FAVOR,_,_
1239497497141223427,school_closures,FAVOR,_,_
1239498054807552000,school_closures,FAVOR,_,_
1239600475533643783,school_closures,FAVOR,_,_
1249022913304559623,school_closures,FAVOR,_,_
1249326526010511360,school_closures,FAVOR,_,_
1240287502365270019,school_closures,FAVOR,_,_
1240589153164763137,school_closures,FAVOR,_,_
1240956507040210944,school_closures,FAVOR,_,_
1236720638309498880,school_closures,FAVOR,_,_
1237612758654275586,school_closures,FAVOR,_,_
1237686959495094273,school_closures,FAVOR,_,_
1252676571032367106,school_closures,FAVOR,_,_
1253821356816297984,school_closures,FAVOR,_,_
1251756849189146624,school_closures,FAVOR,_,_
1252185792715333632,school_closures,FAVOR,_,_
1268102936774623233,school_closures,FAVOR,_,_
1260864389936226304,school_closures,FAVOR,_,_
1260866947656409089,school_closures,FAVOR,_,_
1260897021055176704,school_closures,FAVOR,_,_
1261108973538734082,school_closures,FAVOR,_,_
1261346675739602944,school_closures,FAVOR,_,_
1261394794237947904,school_closures,FAVOR,_,_
1259077276815237125,school_closures,FAVOR,_,_
1259170737061072898,school_closures,FAVOR,_,_
1259423785985376257,school_closures,FAVOR,_,_
1259577460057874432,school_closures,FAVOR,_,_
1259732466610376704,school_closures,FAVOR,_,_
1259755974514094081,school_closures,FAVOR,_,_
1259843407566028803,school_closures,FAVOR,_,_
1259896601092521990,school_closures,FAVOR,_,_
1260593921106808834,school_closures,FAVOR,_,_
1271012633685241857,school_closures,FAVOR,_,_
1255799629364342784,school_closures,FAVOR,_,_
1256021903749386240,school_closures,FAVOR,_,_
1256273379012861954,school_closures,FAVOR,_,_
1256726575476703232,school_closures,FAVOR,_,_
1257303065050247170,school_closures,FAVOR,_,_
1268464911954448385,school_closures,FAVOR,_,_
1268507895248891904,school_closures,FAVOR,_,_
1268833248408489984,school_closures,FAVOR,_,_
1269628621033017344,school_closures,FAVOR,_,_
1269633996503289857,school_closures,FAVOR,_,_
1269828647596232708,school_closures,FAVOR,_,_
1270237319996596224,school_closures,FAVOR,_,_
1270291670161129472,school_closures,FAVOR,_,_
1270412905075392512,school_closures,FAVOR,_,_
1250260896623935490,school_closures,FAVOR,_,_
1272915682821320705,school_closures,FAVOR,_,_
1272974294574743554,school_closures,FAVOR,_,_
1273182736266809345,school_closures,FAVOR,_,_
1273243470841425921,school_closures,FAVOR,_,_
1273244333785915394,school_closures,FAVOR,_,_
1275887972462854151,school_closures,FAVOR,_,_
1276049398745698309,school_closures,FAVOR,_,_
1276058384098308101,school_closures,FAVOR,_,_
1276066218559102982,school_closures,FAVOR,_,_
1276073607509078017,school_closures,FAVOR,_,_
1276097578602545153,school_closures,FAVOR,_,_
1276111527570018309,school_closures,FAVOR,_,_
1276118539976376320,school_closures,FAVOR,_,_
1276206222908235776,school_closures,FAVOR,_,_
1276216868320284674,school_closures,FAVOR,_,_
1276229723941634051,school_closures,FAVOR,_,_
1276232524239450114,school_closures,FAVOR,_,_
1276371738805145601,school_closures,FAVOR,_,_
1276525615907311616,school_closures,FAVOR,_,_
1276587355193909249,school_closures,FAVOR,_,_
1276773263478329344,school_closures,FAVOR,_,_
1276778059035635712,school_closures,FAVOR,_,_
1276802507063169024,school_closures,FAVOR,_,_
1276969652472569856,school_closures,FAVOR,_,_
1276983575112540160,school_closures,FAVOR,_,_
1277000073247932416,school_closures,FAVOR,_,_
1277002947294003200,school_closures,FAVOR,_,_
1277184014437285890,school_closures,FAVOR,_,_
1277431789632380928,school_closures,FAVOR,_,_
1277467734163456000,school_closures,FAVOR,_,_
1277470825281617922,school_closures,FAVOR,_,_
1277506423283503104,school_closures,FAVOR,_,_
1277509285900177408,school_closures,FAVOR,_,_
1277516699357646849,school_closures,FAVOR,_,_
1277516998243647488,school_closures,FAVOR,_,_
