Tweet Id,Target,Stance,Opinion Towards,Sentiment
1246072135677861888,face_masks,FAVOR,_,_
1233645904155906048,face_masks,AGAINST,_,_
1246132525128351749,face_masks,FAVOR,_,_
1234946617230315525,face_masks,AGAINST,_,_
1246327090821152768,face_masks,FAVOR,_,_
1235616702500610050,face_masks,AGAINST,_,_
1246379485836054529,face_masks,FAVOR,_,_
1249548851058524161,face_masks,AGAINST,_,_
1246465674987417601,face_masks,FAVOR,_,_
1236291938833358852,face_masks,AGAINST,_,_
1246531525967056896,face_masks,FAVOR,_,_
1253637747560112133,face_masks,AGAINST,_,_
1247686821913354240,face_masks,FAVOR,_,_
1253641958393872390,face_masks,AGAINST,_,_
1247766388522942469,face_masks,FAVOR,_,_
1261112269611700227,face_masks,AGAINST,_,_
1247815079262924802,face_masks,FAVOR,_,_
1261299842791473155,face_masks,AGAINST,_,_
1247981748178345985,face_masks,FAVOR,_,_
1261374610148335617,face_masks,AGAINST,_,_
1246648933386006532,face_masks,FAVOR,_,_
1259156414095781894,face_masks,AGAINST,_,_
1246926088657387521,face_masks,FAVOR,_,_
1259158476028346370,face_masks,AGAINST,_,_
1247111049268072449,face_masks,FAVOR,_,_
1259552759977775104,face_masks,AGAINST,_,_
1247562188182544386,face_masks,FAVOR,_,_
1259683524602454016,face_masks,AGAINST,_,_
1249354761897476096,face_masks,FAVOR,_,_
1259943078179139584,face_masks,AGAINST,_,_
1249386306192527361,face_masks,FAVOR,_,_
1259966475055632384,face_masks,AGAINST,_,_
1252644618442805250,face_masks,FAVOR,_,_
1260462948331532289,face_masks,AGAINST,_,_
1253103177546620928,face_masks,FAVOR,_,_
1260747752696352768,face_masks,AGAINST,_,_
1253138981375614980,face_masks,FAVOR,_,_
1260749670478942209,face_masks,AGAINST,_,_
1251527383200432133,face_masks,FAVOR,_,_
1270556089222942720,face_masks,AGAINST,_,_
1251620734620794881,face_masks,FAVOR,_,_
1270601282286477312,face_masks,AGAINST,_,_
1260980288286527490,face_masks,FAVOR,_,_
1270822483806031872,face_masks,AGAINST,_,_
1261074083229417473,face_masks,FAVOR,_,_
1271148004637118465,face_masks,AGAINST,_,_
1258878362115661824,face_masks,FAVOR,_,_
1256659695990902784,face_masks,AGAINST,_,_
1258925496840192000,face_masks,FAVOR,_,_
1256800008554246145,face_masks,AGAINST,_,_
1258929640497963008,face_masks,FAVOR,_,_
1257005063949758465,face_masks,AGAINST,_,_
1258935396618158083,face_masks,FAVOR,_,_
1257867310293037056,face_masks,AGAINST,_,_
1258940575543418880,face_masks,FAVOR,_,_
1258045724287254530,face_masks,AGAINST,_,_
